STATE,DISTRICT,years,MURDER,ATTEMP_TO_MURDER,RAPE,STATE,years,max_murder
"ANDHRA PRADESH","RANGA REDDY",2001,214,95,72,"ANDHRA PRADESH",2001,214
"ARUNACHAL PRADESH",LOHIT,2001,16,6,2,"ARUNACHAL PRADESH",2001,16
ASSAM,DIBRUGARH,2001,110,22,35,ASSAM,2001,110
BIHAR,PATNA,2001,434,581,27,BIHAR,2001,434
CHHATTISGARH,SARGUJA,2001,105,42,145,CHHATTISGARH,2001,105
GOA,"NORTH GOA",2001,22,16,4,GOA,2001,22
GUJARAT,"SURAT COMMR.",2001,98,19,11,GUJARAT,2001,98
HARYANA,SONIPAT,2001,73,49,15,HARYANA,2001,73
"HIMACHAL PRADESH",KANGRA,2001,24,16,18,"HIMACHAL PRADESH",2001,24
"JAMMU & KASHMIR",BARAMULLA,2001,144,155,28,"JAMMU & KASHMIR",2001,144
JHARKHAND,RANCHI,2001,243,65,73,JHARKHAND,2001,243
KARNATAKA,"BANGALORE COMMR.",2001,221,327,40,KARNATAKA,2001,221
KERALA,TRIVANDRUM,2001,53,79,57,KERALA,2001,53
"MADHYA PRADESH",JHABUA,2001,124,119,44,"MADHYA PRADESH",2001,124
MAHARASHTRA,MUMBAI,2001,295,200,127,MAHARASHTRA,2001,295
MANIPUR,IMPHAL(WEST),2001,44,42,7,MANIPUR,2001,44
MEGHALAYA,"KHASI HILLS EAST",2001,50,25,5,MEGHALAYA,2001,50
MIZORAM,AIZAWL,2001,12,6,26,MIZORAM,2001,12
NAGALAND,DIMAPUR,2001,36,5,4,NAGALAND,2001,36
ODISHA,MAYURBHANJ,2001,74,45,77,ODISHA,2001,74
PUNJAB,LUDHIANA,2001,74,68,38,PUNJAB,2001,74
PUNJAB,JALANDHAR,2001,74,72,21,PUNJAB,2001,74
RAJASTHAN,JAIPUR,2001,91,90,61,RAJASTHAN,2001,91
SIKKIM,EAST,2001,13,7,7,SIKKIM,2001,13
"TAMIL NADU",CHENNAI,2001,91,298,28,"TAMIL NADU",2001,91
TRIPURA,WEST,2001,125,10,33,TRIPURA,2001,125
"UTTAR PRADESH",MUZAFFARNAGAR,2001,324,255,54,"UTTAR PRADESH",2001,324
UTTARAKHAND,HARIDWAR,2001,94,75,13,UTTARAKHAND,2001,94
"WEST BENGAL","24 PARGANAS NORTH",2001,202,23,53,"WEST BENGAL",2001,202
"A & N ISLANDS",ANDAMAN,2001,13,0,3,"A & N ISLANDS",2001,13
CHANDIGARH,CHANDIGARH,2001,15,10,18,CHANDIGARH,2001,15
"D & N HAVELI","D and N HAVELI",2001,3,2,6,"D & N HAVELI",2001,3
"DAMAN & DIU",DAMAN,2001,6,5,0,"DAMAN & DIU",2001,6
"DELHI UT","DELHI UT TOTAL",2001,547,510,381,"DELHI UT",2001,547
LAKSHADWEEP,LAKSHADWEEP,2001,1,0,0,LAKSHADWEEP,2001,1
PUDUCHERRY,PONDICHERRY,2001,25,32,9,PUDUCHERRY,2001,25
"ANDHRA PRADESH","RANGA REDDY",2002,214,107,49,"ANDHRA PRADESH",2002,214
"ARUNACHAL PRADESH",LOHIT,2002,14,2,3,"ARUNACHAL PRADESH",2002,14
ASSAM,TINSUKIA,2002,115,17,41,ASSAM,2002,115
BIHAR,PATNA,2002,472,682,37,BIHAR,2002,472
CHHATTISGARH,SARGUJA,2002,101,35,142,CHHATTISGARH,2002,101
GOA,"NORTH GOA",2002,18,11,9,GOA,2002,18
GUJARAT,"AHMEDABAD COMMR.",2002,222,143,12,GUJARAT,2002,222
HARYANA,SONIPAT,2002,82,49,14,HARYANA,2002,82
"HIMACHAL PRADESH",KANGRA,2002,28,22,14,"HIMACHAL PRADESH",2002,28
"JAMMU & KASHMIR",BARAMULLA,2002,121,111,14,"JAMMU & KASHMIR",2002,121
JHARKHAND,RANCHI,2002,270,161,55,JHARKHAND,2002,270
KARNATAKA,"BANGALORE COMMR.",2002,201,311,32,KARNATAKA,2002,201
KERALA,TRIVANDRUM,2002,58,69,56,KERALA,2002,58
"MADHYA PRADESH",JHABUA,2002,133,129,29,"MADHYA PRADESH",2002,133
MAHARASHTRA,MUMBAI,2002,252,134,128,MAHARASHTRA,2002,252
MANIPUR,IMPHAL(WEST),2002,32,51,3,MANIPUR,2002,32
MEGHALAYA,"KHASI HILLS EAST",2002,48,22,19,MEGHALAYA,2002,48
MIZORAM,SERCHHIP,2002,6,0,2,MIZORAM,2002,6
MIZORAM,CHAMPHAI,2002,6,1,9,MIZORAM,2002,6
NAGALAND,DIMAPUR,2002,32,7,3,NAGALAND,2002,32
ODISHA,SUNDARGARH,2002,87,57,21,ODISHA,2002,87
PUNJAB,LUDHIANA,2002,68,77,40,PUNJAB,2002,68
RAJASTHAN,BHARATPUR,2002,87,81,59,RAJASTHAN,2002,87
SIKKIM,EAST,2002,6,1,3,SIKKIM,2002,6
"TAMIL NADU",DHARMAPURI,2002,94,49,20,"TAMIL NADU",2002,94
TRIPURA,WEST,2002,113,12,37,TRIPURA,2002,113
"UTTAR PRADESH",MUZAFFARNAGAR,2002,287,195,30,"UTTAR PRADESH",2002,287
UTTARAKHAND,HARIDWAR,2002,75,70,23,UTTARAKHAND,2002,75
"WEST BENGAL","24 PARGANAS NORTH",2002,204,55,88,"WEST BENGAL",2002,204
"A & N ISLANDS",ANDAMAN,2002,14,3,1,"A & N ISLANDS",2002,14
CHANDIGARH,CHANDIGARH,2002,31,35,18,CHANDIGARH,2002,31
"D & N HAVELI","D and N HAVELI",2002,11,2,4,"D & N HAVELI",2002,11
"DAMAN & DIU",DAMAN,2002,7,1,0,"DAMAN & DIU",2002,7
"DELHI UT","DELHI UT TOTAL",2002,531,440,403,"DELHI UT",2002,531
LAKSHADWEEP,LAKSHADWEEP,2002,0,0,1,LAKSHADWEEP,2002,0
PUDUCHERRY,PONDICHERRY,2002,29,43,6,PUDUCHERRY,2002,29
"ANDHRA PRADESH",GUNTUR,2003,210,84,46,"ANDHRA PRADESH",2003,210
"ARUNACHAL PRADESH",LOHIT,2003,16,0,1,"ARUNACHAL PRADESH",2003,16
ASSAM,DIBRUGARH,2003,107,33,38,ASSAM,2003,107
BIHAR,PATNA,2003,484,680,34,BIHAR,2003,484
CHHATTISGARH,BILASPUR,2003,95,55,49,CHHATTISGARH,2003,95
GOA,"NORTH GOA",2003,22,8,22,GOA,2003,22
GUJARAT,"AHMEDABAD COMMR.",2003,90,68,18,GUJARAT,2003,90
HARYANA,SONIPAT,2003,62,37,15,HARYANA,2003,62
HARYANA,GURGAON,2003,62,33,32,HARYANA,2003,62
"HIMACHAL PRADESH",KANGRA,2003,38,16,8,"HIMACHAL PRADESH",2003,38
"JAMMU & KASHMIR",POONCH,2003,111,113,12,"JAMMU & KASHMIR",2003,111
JHARKHAND,RANCHI,2003,250,136,55,JHARKHAND,2003,250
KARNATAKA,"BANGALORE COMMR.",2003,216,280,34,KARNATAKA,2003,216
KERALA,PALAKKAD,2003,52,41,47,KERALA,2003,52
"MADHYA PRADESH",JHABUA,2003,119,101,36,"MADHYA PRADESH",2003,119
MAHARASHTRA,MUMBAI,2003,242,115,133,MAHARASHTRA,2003,242
MANIPUR,IMPHAL(WEST),2003,28,35,5,MANIPUR,2003,28
MEGHALAYA,"JAINTIA HILLS",2003,52,2,11,MEGHALAYA,2003,52
MIZORAM,AIZAWL,2003,14,24,24,MIZORAM,2003,14
NAGALAND,KOHIMA,2003,28,10,5,NAGALAND,2003,28
ODISHA,SUNDARGARH,2003,83,41,21,ODISHA,2003,83
PUNJAB,LUDHIANA,2003,64,66,38,PUNJAB,2003,64
RAJASTHAN,JAIPUR,2003,92,114,57,RAJASTHAN,2003,92
SIKKIM,EAST,2003,7,4,5,SIKKIM,2003,7
"TAMIL NADU",DHARMAPURI,2003,90,58,23,"TAMIL NADU",2003,90
TRIPURA,WEST,2003,136,30,36,TRIPURA,2003,136
"UTTAR PRADESH",BAREILLY,2003,194,122,32,"UTTAR PRADESH",2003,194
UTTARAKHAND,HARIDWAR,2003,75,45,31,UTTARAKHAND,2003,75
"WEST BENGAL","24 PARGANAS NORTH",2003,193,30,92,"WEST BENGAL",2003,193
"A & N ISLANDS",ANDAMAN,2003,16,4,2,"A & N ISLANDS",2003,16
CHANDIGARH,CHANDIGARH,2003,21,15,18,CHANDIGARH,2003,21
"D & N HAVELI","D and N HAVELI",2003,11,5,1,"D & N HAVELI",2003,11
"DAMAN & DIU",DAMAN,2003,6,3,4,"DAMAN & DIU",2003,6
"DELHI UT","DELHI UT TOTAL",2003,485,407,490,"DELHI UT",2003,485
LAKSHADWEEP,LAKSHADWEEP,2003,0,0,2,LAKSHADWEEP,2003,0
PUDUCHERRY,PONDICHERRY,2003,29,32,2,PUDUCHERRY,2003,29
"ANDHRA PRADESH",MAHABOOBNAGAR,2004,183,87,56,"ANDHRA PRADESH",2004,183
"ARUNACHAL PRADESH","SUBANSIRI UPPER",2004,10,6,0,"ARUNACHAL PRADESH",2004,10
"ARUNACHAL PRADESH",LOHIT,2004,10,2,5,"ARUNACHAL PRADESH",2004,10
ASSAM,DIBRUGARH,2004,125,19,58,ASSAM,2004,125
